up,down,TODAYDATE,LAST,TIM,CON,TIM,Boolinger%,MACD1HR-DIF,STOCH1HR-DIF,OICP,OIPP,CP,PP,HIST,MACDDIF,STOCH,MACD,1-STOCH,ocpt,oppt,1=MACD,NCRAT,NORAT,CPT,PPT,NCDIF-v,NODIF-v,LAST,DAY%,20ma,50ma
31,0,4-Oct-24,20140,1445,-0.2,1445,15.54,-0.03,1.39,10913,-7489,399,-131,-0.07,-0.01,-86.27,-0.05,-38.76,1953606,882571,-0.19,2.1,2.2,57472,27118,0.03,0.03,19.18,-1.09,-0.29,-0.12
21,9,4-Oct-24,20149,1442,-0.2,1442,9.95,-0.04,-2.79,0,-4085,7,112,-0.07,-0.03,-91.53,-0.04,-40.15,1942693,890060,-0.19,2.1,2.2,57073,27249,-0.01,0.01,19.14,-1.31,-0.37,-0.16
28,3,4-Oct-24,20142.75,1439,-0.17,1439,14.6,-0.04,1.05,-1401,6429,364,125,-0.07,-0.01,-90.47,-0.01,-37.36,1942693,894145,-0.19,2.1,2.2,57066,27137,0,-0.02,19.22,-0.88,-0.34,-0.08
24,6,4-Oct-24,20146.25,1436,-0.15,1436,6.66,-0.04,-3.15,-2337,3290,112,120,-0.07,-0.03,-91.97,0,-38.41,1944094,887716,-0.19,2.1,2.2,56702,27012,0,-0.01,19.19,-1.04,-0.4,-0.11
33,-3,4-Oct-24,20137.25,1433,-0.12,1433,14.38,-0.03,-0.7,14802,6993,294,210,-0.06,-0.02,-89.46,0.03,-35.26,1946431,884426,-0.18,2.1,2.2,56590,26892,-0.01,0,19.28,-0.57,-0.34,-0.02
13,6,4-Oct-24,20142.75,1430,-0.08,1430,17.72,-0.03,-0.35,-41694,665,-1051,194,-0.05,-0.03,-89.51,0.05,-34.56,1931629,877433,-0.18,2.1,2.2,56296,26682,-0.06,-0.05,19.3,-0.47,-0.33,0
13,5,4-Oct-24,20142.5,1427,-0.03,1427,19.32,-0.01,-6.29,-77453,30685,-2606,871,-0.04,-0.04,-80.45,0.08,-34.21,1973323,876768,-0.18,2.2,2.3,57347,26488,-0.17,-0.17,19.31,-0.41,-0.32,0.02
22,-4,4-Oct-24,20133.25,1424,0.03,1424,42.85,0.01,-4.9,-16391,6901,-331,447,-0.01,-0.02,-56.72,0.12,-27.92,2050776,846083,-0.17,2.3,2.4,59953,25617,-0.06,-0.04,19.49,0.51,-0.14,0.2
21,-5,4-Oct-24,20128.5,1421,0.06,1421,61.03,0.02,-3.15,-43676,20493,-1297,811,0.01,-0.01,-19.06,0.14,-23.02,2067167,839182,-0.16,2.4,2.5,60284,25170,-0.13,-0.12,19.63,1.22,0,0.35
33,-12,4-Oct-24,20116.75,1418,0.1,1418,72.1,0.03,-1.75,-19485,5598,-416,254,0.02,-0.01,22.12,0.15,-19.87,2110843,818689,-0.16,2.5,2.6,61581,24359,-0.04,-0.04,19.72,1.67,0.1,0.44
