up,down,TODAYDATE,LAST,TIM,CON,TIM,Boolinger%,MACD1HR-DIF,STOCH1HR-DIF,OICP,OIPP,CP,PP,HIST,MACDDIF,STOCH,MACD,1-STOCH,ocpt,oppt,1=MACD,NCRAT,NORAT,CPT,PPT,NCDIF-v,NODIF-v,LAST,DAY%,20ma,50ma
85,-36,4-Oct-24,20067.5,1048,0.14,1048,61.75,0.02,2.57,56168,-21800,1402,-372,0.04,0.01,-29.93,-0.03,11.5,2170606,805627,-0.07,2.3,2.7,32752,14456,0.16,0.13,19.74,1.77,0,-0.27
61,24,4-Oct-24,20091.5,1045,0.14,1045,55.09,0.02,-4.17,-60619,18904,-908,367,0.05,-0.01,-16.72,-0.04,8.93,2114438,827427,-0.08,2.1,2.6,31350,14828,-0.12,-0.13,19.66,1.37,-0.05,-0.36
82,3,4-Oct-24,20070.5,1042,0.14,1042,70.14,0,-3.53,-19241,8605,-340,119,0.06,0.01,13.85,-0.03,13.1,2175057,808523,-0.07,2.2,2.7,32258,14461,-0.04,-0.05,19.79,2.02,0.09,-0.24
96,-12,4-Oct-24,20056,1039,0.16,1039,83.4,0,3.21,71405,-5709,1068,-103,0.07,0.02,30.88,-0.04,16.63,2194298,799918,-0.06,2.3,2.7,32598,14342,0.09,0.1,19.9,2.56,0.21,-0.15
92,2,4-Oct-24,20058,1036,0.18,1036,76.95,0.01,-3.53,-52164,1418,-590,129,0.07,0.01,34.07,-0.06,13.42,2122893,805627,-0.07,2.2,2.6,31530,14445,-0.06,-0.06,19.8,2.07,0.14,-0.25
73,-3,4-Oct-24,20052.75,1033,0.2,1033,91.12,0.04,1.61,30531,-7222,701,-141,0.08,0.03,37.65,-0.07,16.95,2175057,804209,-0.06,2.2,2.7,32120,14316,0.07,0.06,19.91,2.61,0.29,-0.16
72,-16,4-Oct-24,20037.25,1030,0.17,1030,91.52,0.02,4.48,32682,-11797,696,-223,0.07,0.02,24.4,-0.1,15.34,2144526,811431,-0.07,2.2,2.6,31419,14457,0.08,0.07,19.86,2.37,0.29,-0.22
55,17,4-Oct-24,20054.5,1027,0.17,1027,66.95,-0.05,-1.92,-63337,19019,-988,396,0.06,0.02,6.22,-0.12,10.86,2111844,823228,-0.08,2.1,2.6,30723,14680,-0.13,-0.13,19.72,1.67,0.2,-0.37
48,19,4-Oct-24,20055.75,1024,0.18,1024,64.93,-0.02,7.37,114999,-37792,1827,-370,0.05,0.03,-3.13,-0.14,12.78,2175181,804209,-0.07,2.2,2.7,31711,14284,0.18,0.25,19.78,1.97,0.28,-0.32
11,43,4-Oct-24,20080.25,1021,0.16,1021,47.13,-0.03,6.41,86571,-43271,1349,-603,0.04,0.01,-10.36,-0.17,5.41,2060182,842001,-0.09,2,2.4,29884,14654,0.17,0.22,19.55,0.82,0.09,-0.56
-18,72,4-Oct-24,20109.5,1018,0.14,1018,34.51,-0.04,-12.18,-127680,57281,-1956,815,0.04,-0.01,6.49,-0.18,-1,1973611,885272,-0.1,1.9,2.2,28535,15257,-0.24,-0.31,19.35,-0.21,-0.09,-0.77
42,31,4-Oct-24,20068,1015,0.13,1015,50.71,-0.01,-5.77,-80387,26218,1515,-9433,0.06,0.03,42.32,-0.17,11.18,2101291,827991,-0.07,2.1,2.5,30491,14442,0.9,-0.18,19.73,1.72,0.3,-0.41
66,7,4-Oct-24,20043.75,1012,0.07,1012,56.39,-0.01,8.34,9868,-17256,519,70,0.05,0.04,47.13,-0.2,16.95,2181678,801773,-0.06,1.2,2.7,28976,23875,0.01,0.07,19.91,2.61,0.5,-0.24
66,7,4-Oct-24,20044,1009,0,1009,43.76,-0.02,9.93,152886,-57232,4460,710,0.01,0.03,31.79,-0.24,8.61,2171810,819029,-0.08,1.2,2.7,28457,23805,0.16,0.35,19.65,1.32,0.2,-0.51
6,66,4-Oct-24,20103.25,1006,-0.08,1006,29.62,-0.05,-5.77,-4869,0,661,0,-0.02,0,22.3,-0.27,-1.32,2018924,876261,-0.1,1,2.3,23997,23095,0.03,-0.01,19.34,-0.26,-0.17,-0.83
5,68,4-Oct-24,20105,1003,-0.22,1003,34.73,-0.04,-27.03,-6857,4304,514,67,-0.02,0.02,40.39,-0.27,4.45,2023793,876261,-0.09,1,2.3,23336,23095,2.01,-0.02,19.52,0.67,-0.09,-0.67
27,39,4-Oct-24,20082.5,1000,-0.34,1000,39.83,-0.06,9.7,36608,-5918,2345,1714,-0.04,0.03,25.25,-0.29,31.48,2030650,871957,-0.03,-1,2.3,22822,23028,-0.01,0.06,19.69,1.52,0.01,-0.52
9,57,4-Oct-24,20100.25,957,-0.38,957,26.46,-0.09,4.85,76657,-48628,1843,170,-0.09,0.01,-24.33,-0.32,21.78,1994042,877875,-0.05,-1,2.3,20477,21314,0.06,0.2,19.39,0,-0.36,-0.83
-65,131,4-Oct-24,20174.75,954,-0.39,954,18.03,-0.1,0.97,881,10036,8158,-18,-0.11,-0.01,-51.7,-0.33,16.93,1917385,926503,-0.06,-1.1,2.1,18634,21144,0.87,-0.02,19.24,-0.78,-0.6,-1
-19,150,4-Oct-24,20193.75,951,-0.38,951,13.11,-0.1,-1.29,-9451,-18693,445,-231,-0.13,-0.02,-60.27,-0.32,15.96,1916504,916467,-0.06,-2,2.1,10476,21162,0.08,0.03,19.21,-0.94,-0.73,-1.05
-10,160,4-Oct-24,20204,948,-0.37,948,10.09,-0.11,-2.59,-17085,2690,254,-1967,-0.15,-0.03,-65.13,-0.3,17.25,1925955,935160,-0.06,-2.1,2.1,10031,21393,0.27,-0.02,19.25,-0.73,-0.78,-1.03
5,155,4-Oct-24,20199,945,-0.33,945,8.24,-0.1,2.59,26502,-17493,5440,22044,-0.16,-0.03,-72.71,-0.27,19.84,1943040,932470,-0.05,-2.4,2.1,9777,23360,-5.69,0.06,19.33,-0.31,-0.79,-0.97
-26,186,4-Oct-24,20230,942,-0.29,942,-1.95,-0.1,-2.91,-64077,33842,1287,319,-0.16,-0.05,-80.55,-0.24,17.25,1916538,949963,-0.06,3.3,2,4337,1316,0.24,-0.14,19.25,-0.73,-0.95,-1.07
7,141,4-Oct-24,20223,940,-0.23,940,-7.27,-0.08,0.79,-135493,41864,606,201,-0.15,-0.14,-79.7,-0.19,20.16,1980615,916121,-0.05,3.1,2.2,3050,997,-0.01,-0.26,19.34,-0.26,-0.95,-1.01
28,119,4-Oct-24,20201.75,933,-0.09,933,-53.31,-0.08,-33.66,192649,5472,1616,751,-0.09,-0.1,-62.12,-0.05,19.37,2116108,874257,-0.05,3.1,2.4,2444,796,-15.33,0.21,19.39,100,-1.09,-1.02
-3,150,4-Oct-24,20232.75,930,0.01,930,26.4,0,-2.55,-610720,68602,-119466,-55301,-0.01,-0.01,-22.04,0.05,53.03,1923459,868785,0.03,18.4,2.2,828,45,16.23,-0.96,19.14,100,-0.07,0.06
266,-134,3-Oct-24,19966.75,1557,0.01,1557,50,0,-3.2,-44531,10239,-1230,1203,0,0,1.09,0.06,55.58,2534179,800183,0.04,2.2,3.2,120294,55346,-0.07,-0.09,20.54,2.97,0,0.14
276,-10,3-Oct-24,19957,1554,0.01,1554,77.71,0.01,3.52,82372,-9214,6171,-305,0.01,0,23.44,0.06,58.78,2578710,789944,0.04,2.2,3.3,121524,54143,0.12,0.14,20.64,3.44,0.1,0.25
262,14,3-Oct-24,19970.75,1551,0,1551,54.7,0.01,-4.16,-39367,9233,-879,798,0.01,-0.01,31.57,0.06,55.26,2496338,799158,0.04,2.1,3.1,115353,54448,-0.05,-0.09,20.53,2.92,-0.01,0.14
281,-5,3-Oct-24,19952.25,1548,0,1548,82.51,0.01,-2.18,-41166,7486,-1174,698,0.02,0.01,58.65,0.07,59.42,2535705,789925,0.05,2.2,3.2,116232,53650,-0.05,-0.08,20.66,3.53,0.11,0.27
296,-16,3-Oct-24,19936.5,1545,-0.02,1545,97.51,0.01,3.85,70114,-28282,2907,9195,0.01,0.01,53.64,0.06,61.6,2576871,782439,0.05,2.2,3.3,117406,52952,-0.4,0.2,20.72,3.81,0.19,0.33
283,13,3-Oct-24,19949.5,1542,-0.02,1542,79.91,0,3.84,18850,-4963,909,-208,0,0.01,17.43,0.05,57.75,2506757,810721,0.04,2.6,3.1,114499,43757,0.04,0.04,20.6,3.25,0.08,0.22
285,12,3-Oct-24,19948,1539,-0.03,1539,58.51,-0.02,0.32,-15030,-1497,1327,1537,-0.01,0,-18.95,0.04,53.91,2487907,815684,0.03,2.6,3.1,113590,43965,-0.07,-0.01,20.48,2.69,-0.03,0.1
288,8,3-Oct-24,19944.5,1536,-0.01,1536,57.72,-0.01,0.96,-7573,8691,-482,373,-0.01,0,-32.79,0.04,53.59,2502937,817181,0.03,2.6,3.1,112263,42428,-0.03,-0.05,20.47,2.64,-0.02,0.09
301,-5,3-Oct-24,19931.5,1533,0.01,1533,52.82,0,-1.92,44120,-3557,2196,-319,0,-0.01,-41.76,0.04,52.63,2510510,808490,0.03,2.7,3.1,112745,42055,0.07,0.07,20.44,2.5,-0.04,0.06
46,-7,3-Oct-24,19924.5,1530,0.03,1530,65.13,0,2.56,43750,-16859,2592,-1008,0,0,-41.14,0.05,54.55,2466390,812047,0.04,2.6,3,110549,42374,0.12,0.12,20.5,2.78,0.04,0.11
32,14,3-Oct-24,19938.75,1527,0.04,1527,50.6,-0.01,0,-40929,12676,-1391,756,0,-0.01,-44.2,0.05,51.99,2422640,828906,0.03,2.5,2.9,107957,43382,-0.08,-0.1,20.42,2.4,-0.03,0.03
27,19,3-Oct-24,19943.75,1524,0.06,1524,51.3,0,-2.88,-74064,17793,-2814,1096,0.01,-0.01,-20.67,0.06,51.99,2463569,816230,0.03,2.6,3,109348,42626,-0.13,-0.16,20.42,2.4,-0.02,0.03
20,8,3-Oct-24,19932,1521,0.07,1521,69.61,0.01,-2.24,-47318,9232,-2170,860,0.02,-0.01,13.27,0.07,54.87,2537633,798437,0.04,2.7,3.2,112162,41530,-0.11,-0.1,20.51,2.83,0.08,0.12
20,6,3-Oct-24,19930,1518,0.08,1518,85.15,0.01,0.64,911,0,247,0,0.03,0.01,39.42,0.08,57.11,2584951,789205,0.04,2.8,3.3,114332,40670,0,0.01,20.58,3.16,0.16,0.19
20,5,3-Oct-24,19929.75,1515,0.06,1515,85.39,0.01,-3.21,-55494,21328,-1375,1204,0.03,0,54.46,0.07,56.47,2584040,789205,0.04,2.8,3.3,114085,40670,-0.12,-0.17,20.56,3.06,0.16,0.17
27,-4,3-Oct-24,19920.75,1512,0.06,1512,110.37,0.02,1.28,-9500,4178,463,652,0.04,0.02,67.42,0.07,59.68,2639534,767877,0.05,2.9,3.4,115460,39466,-0.03,-0.03,20.66,3.53,0.27,0.28
17,7,3-Oct-24,19927.75,1509,0.03,1509,116.55,0.01,4.17,84318,-23582,8460,-377,0.03,0.02,58.49,0.05,58.4,2649034,763699,0.04,3,3.5,114997,38814,0.24,0.21,20.62,3.35,0.25,0.25
-1,24,3-Oct-24,19944.75,1506,0.01,1506,98.46,-0.01,-0.32,-243,-3837,147,-150,0.01,0.01,41.66,0.03,54.23,2564716,787281,0.03,2.7,3.3,106537,39191,0.02,0.02,20.49,2.73,0.14,0.14
5,19,3-Oct-24,19940,1503,0,1503,110.57,0,3.11,49544,-10133,5676,-472,0.01,0.01,38.29,0.02,54.55,2564959,791118,0.04,2.7,3.2,106390,39341,0.17,0.1,20.5,2.78,0.16,0.16
3,21,3-Oct-24,19942,1500,-0.01,1500,108.68,0,5.32,53775,-19654,2704,-873,-0.01,0.01,19.73,0.01,51.44,2515415,801251,0.04,2.5,3.1,100714,39813,0.12,0.14,20.46,2.59,0.14,0.14
-14,38,3-Oct-24,19958.25,1457,-0.02,1457,38.98,-0.01,0,4514,-10278,437,-521,-0.01,0,-28.36,0,46.12,2461640,820905,0.03,2.4,3,98010,40686,0.04,0.04,20.28,1.73,-0.03,-0.03
5,33,3-Oct-24,19953.25,1454,-0.01,1454,37.25,-0.01,1.77,56116,-13403,2058,-448,-0.01,0,-39.07,0,46.12,2457126,831183,0.03,2.4,3,97573,41207,0.08,0.12,20.28,1.73,-0.03,-0.01
-3,41,3-Oct-24,19961.25,1451,-0.01,1451,8.79,-0.01,-2.36,-87844,20270,-3412,1079,-0.01,-0.01,-42.38,0,44.35,2401010,844586,0.03,2.3,2.8,95515,41655,-0.15,-0.18,20.22,1.43,-0.09,-0.06
7,34,3-Oct-24,19954.25,1448,0.01,1448,40.6,0,0.59,-16054,5356,-511,349,-0.01,0,-23.45,0.01,46.71,2488854,824316,0.03,2.4,3,98927,40576,-0.03,-0.04,20.3,1.82,-0.01,0.03
6,35,3-Oct-24,19955.5,1445,0,1445,32.61,0,-0.59,8632,-4949,1495,438,-0.01,-0.01,-15.64,0.01,46.12,2504908,818960,0.03,2.5,3.1,99438,40227,0.01,0.03,20.28,1.73,-0.03,0.02
4,30,3-Oct-24,19957.25,1442,0,1442,40.97,0,-1.48,-7336,2171,-225,3,0,0,1.4,0.02,46.71,2496276,823909,0.03,2.5,3,97943,39789,-0.01,-0.02,20.3,1.82,-0.01,0.06
6,15,3-Oct-24,19955.25,1439,0,1439,59.1,0.01,0,31412,-10531,1172,-520,0,0,13.41,0.02,48.19,2503612,821738,0.04,2.5,3,98168,39786,0.06,0.08,20.35,2.06,0.04,0.12
12,10,3-Oct-24,19949.75,1436,-0.01,1436,60.67,0.01,-2.07,-4750,3012,10,206,0,0,14.01,0.02,48.19,2472200,832269,0.04,2.4,3,96996,40306,-0.01,-0.02,20.35,2.06,0.03,0.13
23,-4,3-Oct-24,19938.25,1433,-0.01,1433,86.91,0.01,2.37,48632,-21123,4660,-1070,0,0,14.21,0.02,50.26,2476950,829257,0.04,2.4,3,96986,40100,0.18,0.13,20.42,2.4,0.1,0.21
9,14,3-Oct-24,19952,1430,-0.02,1430,62.94,0,-0.3,-9264,5568,-431,429,0,0.01,-3.81,0.02,47.89,2428318,850380,0.04,2.2,2.9,92326,41170,-0.04,-0.03,20.34,2.02,0.03,0.15
14,9,3-Oct-24,19947,1427,-0.03,1427,64.24,0,-1.18,2901,8905,180,412,-0.01,0,-10.31,0.01,48.19,2437582,844812,0.04,2.3,2.9,92757,40741,-0.02,-0.02,20.35,2.06,0.04,0.17
13,11,3-Oct-24,19948.75,1424,-0.04,1424,78.72,-0.01,5.32,121276,-49216,4747,-2505,-0.01,0.01,-28.15,0.01,49.37,2434681,835907,0.04,2.3,2.9,92577,40329,0.25,0.3,20.39,2.26,0.08,0.22
-8,27,3-Oct-24,19965.5,1421,-0.05,1421,23.68,-0.02,-1.18,-11743,7573,411,304,-0.02,-0.01,-62.81,0,44.05,2313405,885123,0.03,2.1,2.6,87830,42834,-0.01,-0.04,20.21,1.39,-0.1,0.05
8,19,3-Oct-24,19957.25,1418,-0.04,1418,34.42,-0.02,-0.89,-28616,3820,-1012,145,-0.02,-0.01,-55.71,0.01,45.23,2325148,877550,0.03,2.1,2.6,87419,42530,-0.03,-0.04,20.25,1.58,-0.06,0.1
9,18,3-Oct-24,19956.25,1415,-0.03,1415,39.7,-0.01,0,-3285,1281,-105,131,-0.02,0,-48.16,0.02,46.12,2353764,873730,0.03,2.1,2.7,88431,42385,-0.01,-0.01,20.28,1.73,-0.03,0.14
3,24,3-Oct-24,19962.5,1412,-0.04,1412,37.7,-0.01,0.89,6853,0,383,0,-0.02,-0.01,-47.61,0.02,46.12,2357049,872449,0.03,2.1,2.7,88536,42254,0.01,0.01,20.28,1.73,-0.02,0.15
-1,28,3-Oct-24,19966,1409,-0.04,1409,29.94,-0.02,-0.89,-2525,1392,-78,73,-0.02,0,-42.55,0.03,45.23,2350196,872449,0.03,2.1,2.7,88153,42254,0,-0.01,20.25,1.58,-0.06,0.13
1,27,3-Oct-24,19965.5,1406,-0.04,1406,33.81,-0.01,-2.36,-3607,-8798,-74,-402,-0.02,-0.01,-26.45,0.03,46.12,2352721,871057,0.03,2.1,2.7,88231,42181,0.02,0.02,20.28,1.73,-0.03,0.17
11,8,3-Oct-24,19955.25,1403,-0.04,1403,46.36,0,2.05,33977,-3770,3497,-99,-0.02,0,-14.4,0.04,48.48,2356328,879855,0.04,2.1,2.7,88305,42583,0.08,0.05,20.36,2.11,0.05,0.26
5,15,3-Oct-24,19961.5,1400,-0.06,1400,34.42,0,-2.02,-26663,13954,-180,605,-0.02,-0.01,-17.64,0.04,46.43,2322351,883625,0.04,2,2.6,84808,42682,-0.03,-0.07,20.3,1.82,-0.02,0.21
10,8,3-Oct-24,19956.25,1357,-0.07,1357,44.76,0,0,-10560,7067,-450,431,-0.02,0,-14.42,0.05,48.45,2349014,869671,0.05,2,2.7,84988,42077,-0.03,-0.04,20.37,2.16,0.03,0.28
16,-5,3-Oct-24,19950.5,1354,-0.08,1354,44.51,0.01,0,-45300,1493,-605,102,-0.02,0,-12.88,0.05,48.45,2359574,862604,0.05,2.1,2.7,85438,41646,-0.02,-0.05,20.37,2.16,0.02,0.29
27,-12,3-Oct-24,19939,1351,-0.11,1351,42.76,0.01,3.17,40551,-11445,2295,-695,-0.03,0,-12.01,0.05,48.45,2404874,861111,0.05,2.1,2.8,86043,41544,0.09,0.08,20.37,2.16,0.01,0.29
11,16,3-Oct-24,19955.25,1348,-0.14,1348,24.33,-0.02,-1.44,885,5468,1557,322,-0.04,-0.01,-14.06,0.05,45.28,2364323,872556,0.04,2,2.7,83748,42239,0.02,-0.02,20.26,1.63,-0.11,0.19
14,13,3-Oct-24,19951.75,1345,-0.13,1345,30.62,-0.02,-4.33,-106362,26365,-3366,1322,-0.03,-0.01,-3.61,0.06,46.72,2363438,867088,0.04,2,2.7,82191,41917,-0.15,-0.21,20.31,1.87,-0.09,0.24
34,-7,3-Oct-24,19932,1342,-0.13,1342,55.31,-0.01,5.77,100587,-27450,3754,-1361,-0.04,0,-7.34,0.07,51.05,2469800,840723,0.05,2.1,2.9,85557,40595,0.16,0.21,20.46,2.59,0.04,0.39
8,26,3-Oct-24,19957.5,1339,-0.12,1339,30.46,-0.01,2.89,27658,-12330,1944,-774,-0.05,-0.01,-35.44,0.07,45.28,2369213,868173,0.04,1.9,2.7,81803,41956,0.08,0.07,20.26,1.63,-0.16,0.19
-6,36,3-Oct-24,19967.5,1336,-0.12,1336,24.43,-0.02,-1.73,-18737,3877,19,298,-0.05,-0.02,-40.16,0.08,42.39,2341555,880503,0.04,1.9,2.7,79859,42730,-0.01,-0.03,20.16,1.14,-0.27,0.09
2,34,3-Oct-24,19965.75,1333,-0.1,1333,35.43,-0.03,-5.78,-47106,17293,1061,1770,-0.04,-0.02,-31.38,0.1,44.12,2360292,876626,0.04,1.9,2.7,79840,42432,-0.06,-0.11,20.22,1.43,-0.24,0.14
20,16,3-Oct-24,19948,1330,-0.06,1330,56.96,-0.02,7.22,104125,-34512,3589,-1765,-0.03,-0.01,-28.54,0.12,49.9,2407398,859333,0.05,1.9,2.8,78779,40662,0.17,0.22,20.42,2.4,-0.06,0.33
-4,40,3-Oct-24,19971.75,1327,-0.03,1327,39.6,-0.01,-2.31,-36712,4876,-733,324,-0.03,-0.03,-43.94,0.13,42.68,2303273,893845,0.04,1.8,2.6,75190,42427,-0.03,-0.05,20.17,1.19,-0.31,0.08
14,26,3-Oct-24,19958,1324,0.01,1324,48.3,0,-8.95,-67413,30029,1848,9863,-0.01,-0.03,-21.5,0.16,44.99,2339985,888969,0.04,1.8,2.6,75923,42103,-0.5,-0.17,20.25,1.58,-0.24,0.17
47,-7,3-Oct-24,19925,1321,0.05,1321,70.89,0,-0.58,-42183,16692,-1294,873,0.02,0,8.26,0.19,53.94,2407398,858940,0.06,2.3,2.8,74075,32240,-0.1,-0.11,20.56,3.06,0.09,0.48
53,-7,3-Oct-24,19918.5,1318,0.09,1318,74.36,0.01,0.58,-38570,6548,-410,391,0.03,-0.01,11.31,0.19,54.52,2449581,842248,0.06,2.4,2.9,75369,31367,-0.05,-0.07,20.58,3.16,0.16,0.51
61,-8,3-Oct-24,19910.5,1315,0.14,1315,75.62,0.02,2.6,74311,-23633,2235,-817,0.04,0.01,16.16,0.2,53.94,2488151,835700,0.06,2.4,3,75779,30976,0.14,0.17,20.56,3.06,0.2,0.5
47,14,3-Oct-24,19924.5,1312,0.18,1312,72.62,0.01,-0.29,-18703,14400,822,651,0.05,-0.01,25.54,0.19,51.34,2413840,859333,0.05,2.3,2.8,73544,31793,-0.03,-0.07,20.47,2.64,0.16,0.41
55,7,3-Oct-24,19917,1309,0.23,1309,75.64,0.04,-5.78,-95642,16300,-3083,762,0.07,0,39.07,0.2,51.63,2432543,844933,0.06,2.3,2.9,72722,31142,-0.16,-0.17,20.48,2.69,0.23,0.43
76,-15,3-Oct-24,19895.5,1306,0.25,1306,90.96,0.06,1.16,38561,-7067,5876,-229,0.09,0.02,49.84,0.2,57.41,2528185,828633,0.07,2.5,3.1,75805,30380,0.22,0.07,20.68,3.63,0.5,0.64
69,8,3-Oct-24,19903,1303,0.24,1303,94.18,0.06,12.85,122505,-32473,6267,-1210,0.09,0.02,43.98,0.18,56.25,2489624,835700,0.07,2.3,3,69929,30609,0.28,0.25,20.64,3.44,0.53,0.62
52,25,3-Oct-24,19920,1300,0.24,1300,86.56,0.04,1.15,42988,-8952,1482,-29,0.09,0.01,48.02,0.16,43.4,2367119,868173,0.05,2,2.7,63662,31819,0.05,0.08,20.44,2.5,0.4,0.43
24,38,3-Oct-24,19933.75,1257,0.24,1257,88.07,0.05,-8.94,-111522,35922,-2701,2211,0.1,0.01,70.58,0.15,42.25,2324131,877125,0.04,2,2.6,62180,31848,-0.24,-0.25,20.4,2.3,0.41,0.39
15,23,3-Oct-24,19918.75,1254,0.23,1254,111.23,0.07,3.08,-28166,10126,190,370,0.11,0.04,91.92,0.14,51.19,2435653,841203,0.06,2.2,2.9,64881,29637,-0.02,-0.06,20.62,3.35,0.68,0.62
1,38,3-Oct-24,19933,1251,0.19,1251,116.12,0.05,2.93,42731,-6128,1480,466,0.1,0.04,88.38,0.1,48.11,2463819,831077,0.05,2.2,3,64691,29267,0.02,0.07,20.5,2.78,0.63,0.5
-19,57,3-Oct-24,19952.75,1248,0.15,1248,125.4,0.04,3.82,66775,-27737,2966,258,0.08,0.05,87.41,0.06,45.18,2421088,837205,0.04,2.2,2.9,63211,28801,0.08,0.17,20.4,2.3,0.59,0.42
-24,81,3-Oct-24,19976.75,1245,0.1,1245,137.77,0.04,8.52,151153,-18005,9278,-2205,0.06,0.04,86.18,0.01,41.36,2354313,864942,0.04,2.1,2.7,60245,28543,0.45,0.22,20.27,1.68,0.51,0.3
-18,99,3-Oct-24,19994.25,1242,0.06,1242,121.36,0.02,3.81,48141,-29503,1191,-1094,0.04,0.02,82.55,-0.03,32.84,2203160,882947,0.02,1.7,2.5,50967,30748,0.1,0.14,19.98,0.25,0.25,0.02
-15,114,3-Oct-24,20009.25,1239,0.03,1239,96.26,0.01,1.47,41161,-17824,995,-646,0.02,0.01,66.78,-0.05,29.03,2155019,912450,0.01,1.6,2.4,49776,31842,0.06,0.09,19.85,-0.4,0.14,-0.09
-2,108,3-Oct-24,20010.75,1236,0.02,1236,76.41,0.01,0.29,-13596,-11123,-227,-166,0.01,0.02,45.04,-0.06,27.56,2113858,930274,0.01,1.5,2.3,48781,32488,0,0.01,19.8,-0.66,0.09,-0.13
4,89,3-Oct-24,20007.25,1233,-0.01,1233,70.68,0.01,5.29,31501,-13112,1047,-470,0,0.01,18.78,-0.08,27.27,2127454,941397,0.01,1.5,2.3,49008,32654,0.05,0.06,19.79,-0.71,0.09,-0.13
-24,116,3-Oct-24,20034.25,1230,-0.02,1230,13.86,-0.01,0.29,29654,-11670,613,-374,-0.01,0,-22.48,-0.09,21.98,2095953,954509,-0.01,1.4,2.2,47961,33124,0.04,0.06,19.61,-1.63,-0.08,-0.3
-7,123,3-Oct-24,20041.25,1227,-0.02,1227,14.58,-0.03,-1.17,-32204,13163,-737,516,-0.01,0,-25.67,-0.09,21.69,2066299,966179,-0.01,1.4,2.1,47348,33498,-0.05,-0.06,19.6,-1.68,-0.1,-0.31
8,101,3-Oct-24,20033.75,1224,-0.02,1224,22.55,-0.02,-1.18,-20676,8735,-455,287,-0.01,0,-22.45,-0.09,22.86,2098503,953016,0,1.5,2.2,48085,32982,-0.02,-0.04,19.64,-1.48,-0.07,-0.27
12,77,3-Oct-24,20029.25,1221,-0.02,1221,27.65,-0.01,-0.58,-30432,10897,-169,424,-0.02,0,-31.72,-0.09,24.04,2119179,944281,0,1.5,2.2,48540,32695,-0.03,-0.06,19.68,-1.27,-0.05,-0.24
13,52,3-Oct-24,20028.75,1218,-0.04,1218,30.25,-0.02,1.17,27478,-13670,596,-537,-0.02,0,-33.85,-0.09,24.62,2149611,933384,0,1.5,2.3,48709,32271,0.04,0.06,19.7,-1.17,-0.04,-0.23
2,45,3-Oct-24,20039,1215,-0.06,1215,23.52,-0.02,-0.59,-9326,4270,-209,182,-0.03,-0.01,-38.08,-0.09,23.45,2122133,947054,0,1.5,2.2,48113,32808,-0.01,-0.02,19.66,-1.37,-0.09,-0.28
4,30,3-Oct-24,20037,1212,-0.06,1212,24.25,-0.02,0.3,27393,-16226,479,-578,-0.03,0,-25.35,-0.08,24.04,2131459,942784,0,1.5,2.3,48322,32626,0.04,0.07,19.68,-1.27,-0.09,-0.26
1,34,3-Oct-24,20040.75,1209,-0.08,1209,20.95,-0.02,-2.35,-28437,12044,-634,413,-0.03,-0.01,-8.78,-0.08,23.74,2104066,959010,0,1.4,2.2,47843,33204,-0.04,-0.06,19.67,-1.32,-0.13,-0.28
9,26,3-Oct-24,20032.75,1206,-0.1,1206,27.25,-0.03,-0.59,7573,2791,507,113,-0.03,0,6.26,-0.07,26.09,2132503,946966,0,1.5,2.3,48477,32791,0.01,0,19.75,-0.91,-0.08,-0.2
7,6,3-Oct-24,20034.75,1203,-0.12,1203,27.55,-0.03,-4.58,-39811,18911,-826,684,-0.04,0,-10.69,-0.07,26.68,2124930,944175,0,1.5,2.3,47970,32678,-0.06,-0.09,19.77,-0.81,-0.08,-0.18
1,12,3-Oct-24,20040.75,1200,-0.15,1200,28.43,-0.01,1.87,-7870,-5717,-356,-199,-0.05,0,-36.15,-0.07,31.26,2164741,925264,0.02,1.5,2.3,48796,31994,0,0.01,19.8,-0.66,-0.09,-0.15
-3,15,3-Oct-24,20043.25,1157,-0.18,1157,20.83,-0.02,2.18,23000,-11261,1115,327,-0.06,0,-63.92,-0.07,29.39,2172611,930981,0.02,1.5,2.3,49152,32193,0.02,0.05,19.74,-0.96,-0.18,-0.2
-9,23,3-Oct-24,20052,1154,-0.2,1154,11.74,-0.03,-1.25,18449,-1933,320,-85,-0.07,-0.02,-73.7,-0.07,27.21,2149611,942242,0.01,1.5,2.3,48037,31866,0.02,0.02,19.67,-1.32,-0.29,-0.25
8,16,3-Oct-24,20044.25,1151,-0.2,1151,11.96,-0.02,-1.24,-42519,16696,-794,628,-0.08,-0.02,-69.28,-0.05,28.46,2131162,944175,0.02,1.5,2.3,47717,31951,-0.06,-0.08,19.71,-1.12,-0.3,-0.2
7,12,3-Oct-24,20044.75,1148,-0.21,1148,11.36,-0.03,-0.62,-28287,13005,-86,476,-0.08,-0.01,-67.6,-0.03,29.7,2173681,927479,0.02,1.5,2.3,48511,31323,-0.03,-0.07,19.75,-0.91,-0.3,-0.14
14,5,3-Oct-24,20037.75,1145,-0.21,1145,10.46,-0.03,-1.25,2578,-4076,174,-162,-0.08,-0.02,-71.79,-0.02,30.32,2201968,914474,0.02,1.6,2.4,48597,30847,0.02,0.02,19.77,-0.81,-0.34,-0.1
